319,28,220,0
318,34,113,0
346,34,186,1
324,28,123,0
317,23,299,0
331,29,174,0
322,31,113,0
337,31,294,1
320,25,140,0
342,30,190,0
344,24,256,0
338,25,123,0
335,21,298,0
318,34,258,1
317,27,184,0
320,30,271,1
346,31,234,1
325,22,292,0
345,20,243,0
341,23,240,0
331,32,272,1
349,23,157,0
349,27,178,0
324,26,184,0
332,26,208,0
343,34,201,1
348,29,143,0
332,25,185,0
317,27,180,0
330,25,143,0
329,20,164,0
322,30,276,1
338,32,251,1
346,20,137,0
342,32,280,1
323,29,208,0
326,23,139,0
336,29,250,0
321,26,157,0
345,24,224,0
321,29,141,0
327,25,296,0
340,25,294,0
346,30,171,0
332,29,169,0
322,34,197,0
345,34,165,0
328,26,172,0
321,32,288,1
344,31,121,0
340,27,115,0
323,23,175,0
326,34,290,1
343,30,198,0
324,27,168,0
342,31,185,0
335,27,262,0
321,30,194,0
335,23,285,0
348,30,203,0
315,20,172,0
335,22,260,0
318,22,127,0
322,26,124,0
332,26,154,0
322,29,231,0
319,27,197,0
331,28,298,1
333,26,219,0
328,32,162,0
329,27,191,0
348,28,139,0
316,33,241,1
324,30,294,1
345,25,286,0
331,29,290,1
337,23,260,0
339,31,181,0
349,31,129,0
333,33,163,0
331,31,176,0
347,32,208,0
334,34,208,1
341,32,145,0
331,28,233,0
324,21,275,0
342,22,134,0
320,30,281,1
332,22,200,0
327,33,135,0
328,32,264,1
322,33,253,1
318,22,249,0
334,21,209,0
343,21,296,0
333,24,161,0
321,27,149,0
325,26,130,0
342,28,256,0
347,31,243,1
315,21,169,0
318,29,216,0
329,22,298,0
346,28,237,0
327,27,199,0
323,29,151,0
336,30,223,0
335,25,252,0
341,33,242,1
344,27,222,0
321,23,215,0
338,21,227,0
348,28,217,0
338,31,232,0
330,28,135,0
335,31,179,0
339,32,206,0
320,29,288,1
322,21,196,0
342,23,136,0
341,27,229,0
342,26,253,0
347,28,155,0
335,26,128,0
333,22,298,0
325,24,126,0
324,29,129,0
327,21,290,0
321,25,182,0
343,26,120,0
317,24,292,0
341,31,258,1
345,22,201,0
348,24,238,0
342,31,126,0
320,22,287,0
344,25,179,0
349,24,164,0
335,24,224,0
336,28,250,0
325,23,227,0
342,23,115,0
335,21,153,0
318,31,110,0
344,28,215,0
345,28,297,1
323,32,157,0
335,34,174,0
334,28,293,1
334,23,133,0
345,21,232,0
329,31,243,0
320,29,119,0
349,25,113,0
320,23,282,0
325,22,144,0
342,20,244,0
349,34,112,0
329,26,146,0
317,29,293,1
315,30,249,0
325,28,210,0
327,33,276,1
348,21,217,0
347,32,141,0
340,28,237,0
323,29,113,0
319,25,228,0
331,26,205,0
349,20,267,0
323,22,277,0
332,21,189,0
330,29,212,0
346,24,249,0
329,22,144,0
328,33,113,0
319,33,224,0
337,30,183,0
329,21,189,0
335,33,264,1
346,29,201,0
322,25,274,0
316,20,191,0
338,29,208,0
319,23,280,0
348,34,256,1
321,28,281,0
326,28,145,0
331,23,208,0
332,30,141,0
321,20,128,0
349,33,242,1
337,32,192,0
338,22,151,0
315,21,190,0
337,26,160,0
331,26,161,0
328,22,125,0
325,28,175,0
320,21,196,0
345,25,219,0
